marker;iteration;timestamp;sens.KITGripperFTSensor.tz;sens.TestBenchMotor.position;sens.TestBenchMotor.targetPWM;sens.TestBenchMotor.velocityTicksPerMs;sens.TestBenchMotor.rawVelocity;sens.TestBenchMotor.filteredVelocity;ctrl.TestBenchMotor.ControlMode_Velocity1DoF.velocity
;545563;1560955004805202;0.062026;-2.871063;-13;-1.000000;0.003779;0.000000;nan
;545564;1560955004806204;0.062026;-2.871067;1;0.000000;-0.003779;-0.000378;nan
;545565;1560955004807191;0.062029;-2.871067;1;0.000000;0.000000;-0.000378;nan
;545566;1560955004808197;0.062019;-2.871067;-14;1.000000;0.000000;0.000000;nan
;545567;1560955004809228;0.062016;-2.871063;-13;0.000000;0.003779;0.000378;nan
;545568;1560955004810221;0.062016;-2.871063;-14;-1.000000;0.000000;0.000000;nan
;545569;1560955004811219;0.062005;-2.871067;0;1.000000;-0.003779;-0.000378;nan
;545570;1560955004812212;0.061990;-2.871063;-14;0.000000;0.003779;0.000000;nan
;545571;1560955004813235;0.061911;-2.871063;-14;0.000000;0.000000;0.000000;nan
;545572;1560955004814218;0.061832;-2.871063;-11;0.000000;0.000000;0.000378;nan
;545573;1560955004815251;0.061832;-2.871063;-14;0.000000;0.000000;0.000000;nan
;545574;1560955004816222;0.061832;-2.871063;-12;0.000000;0.000000;0.000378;nan
;545575;1560955004817225;0.061832;-2.871063;-12;0.000000;0.000000;0.000378;nan
;545576;1560955004818219;0.061832;-2.871063;-12;0.000000;0.000000;0.000378;nan
;545577;1560955004819213;0.061935;-2.871063;-14;-1.000000;0.000000;0.000000;nan
;545578;1560955004820202;0.062038;-2.871067;0;0.000000;-0.003779;-0.000378;nan
;545579;1560955004821199;0.062038;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545580;1560955004822191;0.062038;-2.871067;0;0.000000;0.000000;-0.000378;nan
;545581;1560955004823190;0.062038;-2.871067;0;1.000000;0.000000;-0.000378;nan
;545582;1560955004824192;0.062038;-2.871063;-14;-1.000000;0.003779;0.000000;nan
;545583;1560955004825225;0.062038;-2.871067;0;0.000000;-0.003779;-0.000378;nan
;545584;1560955004826212;0.062030;-2.871067;0;1.000000;0.000000;-0.000378;nan
;545585;1560955004827215;0.062022;-2.871063;-14;-1.000000;0.003779;0.000000;nan
;545586;1560955004828214;0.062014;-2.871067;0;1.000000;-0.003779;-0.000378;nan
;545587;1560955004829221;0.062005;-2.871063;-14;0.000000;0.003779;0.000000;nan
;545588;1560955004830219;0.061950;-2.871063;-24;-1.000000;0.000000;0.000378;nan
;545589;1560955004831219;0.061895;-2.871067;-23;1.000000;-0.003779;0.000000;nan
;545590;1560955004832191;0.061838;-2.871063;-24;-1.000000;0.003779;0.000378;nan
;545591;1560955004833204;0.061781;-2.871067;-14;0.000000;-0.003779;0.000000;nan
;545592;1560955004834192;0.061778;-2.871067;0;0.000000;0.000000;-0.000378;nan
;545593;1560955004835186;0.061778;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545594;1560955004836194;0.061778;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545595;1560955004837192;0.061778;-2.871067;0;0.000000;0.000000;-0.000378;nan
;545596;1560955004838186;0.061781;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545597;1560955004839199;0.061919;-2.871067;0;0.000000;0.000000;-0.000378;nan
;545598;1560955004840207;0.062058;-2.871067;-1;0.000000;0.000000;-0.000378;nan
;545599;1560955004841227;0.062058;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545600;1560955004842220;0.062058;-2.871067;-1;0.000000;0.000000;-0.000378;nan
;545601;1560955004843211;0.062058;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545602;1560955004844211;0.062058;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545603;1560955004845211;0.062036;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545604;1560955004846206;0.062014;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545605;1560955004847212;0.062014;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545606;1560955004848221;0.061992;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545607;1560955004849211;0.061970;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545608;1560955004850212;0.061948;-2.871067;-14;1.000000;0.000000;0.000000;nan
;545609;1560955004851221;0.061926;-2.871063;-24;0.000000;0.003779;0.000378;nan
;545610;1560955004852218;0.061839;-2.871063;-24;0.000000;0.000000;0.000378;nan
;545611;1560955004853218;0.061751;-2.871063;-24;0.000000;0.000000;0.000378;nan
